"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"78","endothelial","astrocytes","HBEGF","EGFR_ERBB2",0.000372546155387601,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"79","microglia","astrocytes","HBEGF","EGFR_ERBB2",8.0047956554586e-06,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"80","neurons","astrocytes","HBEGF","EGFR_ERBB2",1.56094039212975e-06,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"81","oligodendrocytes","astrocytes","HBEGF","EGFR_ERBB2",4.47720899821043e-05,0,"HBEGF_EGFR_ERBB2","HBEGF - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"82","endothelial","astrocytes","HBEGF","ERBB4",0.0161342866645632,0,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"83","oligodendrocytes","astrocytes","HBEGF","ERBB4",0.00196627411515713,0.03,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"84","endothelial","neurons","HBEGF","ERBB4",0.0364243165615649,0,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"85","oligodendrocytes","neurons","HBEGF","ERBB4",0.00452087645166372,0,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"86","endothelial","oligodendrocytes","HBEGF","ERBB4",0.00646347950409544,0,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
"87","endothelial","OPC","HBEGF","ERBB4",0.0052700252368555,0,"HBEGF_ERBB4","HBEGF - ERBB4","EGF","Secreted Signaling","KEGG: hsa04012"
